comuna,es_comuna_oficial,documentos,con_texto,mixtos,escaneados,vacios_ilegibles,paginas_totales,paginas_a_ocr
SIN_COMUNA,NO,20,7,3,10,0,208,78
algarrobo,si,1,1,0,0,0,4,0
alhue,si,0,0,0,0,0,0,0
alto_biobio,si,0,0,0,0,0,0,0
alto_del_carmen,si,0,0,0,0,0,0,0
alto_hospicio,si,0,0,0,0,0,0,0
ancud,si,0,0,0,0,0,0,0
andacollo,si,1,1,0,0,0,2,0
angol,si,1,1,0,0,0,20,0
antartica,si,0,0,0,0,0,0,0
antofagasta,si,12,6,3,3,0,237,34
antuco,si,15,8,0,7,0,167,74
arauco,si,6,4,1,1,0,33,21
arica,si,2,2,0,0,0,138,3
aysen,si,0,0,0,0,0,0,0
buin,si,15,3,0,12,0,111,106
bulnes,si,1,0,1,0,0,8,2
cabildo,si,1,1,0,0,0,3,0
cabo_de_hornos,si,0,0,0,0,0,0,0
cabrero,si,0,0,0,0,0,0,0
calama,si,0,0,0,0,0,0,0
calbuco,si,1,1,0,0,0,3,0
caldera,si,12,8,3,1,0,294,133
calera,si,0,0,0,0,0,0,0
calera_de_tango,si,0,0,0,0,0,0,0
calle_larga,si,4,4,0,0,0,47,0
camarones,si,0,0,0,0,0,0,0
camina,si,0,0,0,0,0,0,0
canela,si,1,1,0,0,0,2,0
canete,si,1,0,1,0,0,40,13
carahue,si,1,1,0,0,0,33,1
cartagena,si,0,0,0,0,0,0,0
casablanca,si,3,3,0,0,0,54,0
castro,si,0,0,0,0,0,0,0
catemu,si,0,0,0,0,0,0,0
cauquenes,si,4,3,0,1,0,65,39
cerrillos,si,21,12,6,3,0,224,21
cerro_navia,si,0,0,0,0,0,0,0
chaiten,si,0,0,0,0,0,0,0
chanaral,si,4,2,1,1,0,93,43
chanco,si,0,0,0,0,0,0,0
chepica,si,2,1,0,1,0,14,2
chiguayante,si,12,11,1,0,0,177,6
chile_chico,si,0,0,0,0,0,0,0
chillan,si,11,8,2,1,0,159,10
chillan_viejo,si,11,10,0,1,0,63,1
chimbarongo,si,0,0,0,0,0,0,0
chonchi,si,0,0,0,0,0,0,0
cisnes,si,0,0,0,0,0,0,0
cobquecura,si,1,0,0,1,0,1,1
cochamo,si,0,0,0,0,0,0,0
cochrane,si,0,0,0,0,0,0,0
codegua,si,3,2,0,1,0,29,1
coelemu,si,3,1,0,2,0,46,6
coihueco,si,0,0,0,0,0,0,0
coinco,si,3,3,0,0,0,30,0
colbun,si,2,2,0,0,0,2,0
colchane,si,0,0,0,0,0,0,0
colina,si,8,6,0,1,1,126,51
collipulli,si,1,0,0,1,0,2,2
coltauco,si,1,0,0,1,0,44,44
combarbala,si,1,1,0,0,0,27,0
concepcion,si,10,5,1,4,0,32,11
conchali,si,2,1,1,0,0,29,10
concon,si,0,0,0,0,0,0,0
constitucion,si,0,0,0,0,0,0,0
contulmo,si,0,0,0,0,0,0,0
copiapo,si,2,2,0,0,0,58,3
coquimbo,si,1,1,0,0,0,3,0
coronel,si,0,0,0,0,0,0,0
corral,si,6,0,0,6,0,31,31
coyhaique,si,1,1,0,0,0,5,0
cunco,si,0,0,0,0,0,0,0
curacautin,si,15,3,0,10,2,168,124
curacavi,si,0,0,0,0,0,0,0
curaco_de_velez,si,0,0,0,0,0,0,0
curanilahue,si,3,1,0,2,0,4,2
curarrehue,si,0,0,0,0,0,0,0
curepto,si,0,0,0,0,0,0,0
curico,si,11,5,2,4,0,67,49
dalcahue,si,1,0,0,1,0,1,1
diego_de_almagro,si,1,0,0,1,0,2,2
donihue,si,6,6,0,0,0,46,0
el_bosque,si,2,2,0,0,0,26,0
el_carmen,si,1,1,0,0,0,12,0
el_monte,si,1,0,0,1,0,2,2
el_quisco,si,8,4,4,0,0,328,56
el_tabo,si,6,2,0,4,0,22,17
empedrado,si,0,0,0,0,0,0,0
ercilla,si,0,0,0,0,0,0,0
estacion_central,si,14,8,0,6,0,40,8
florida,si,3,3,0,0,0,37,0
freire,si,0,0,0,0,0,0,0
freirina,si,2,0,1,1,0,26,5
fresia,si,1,1,0,0,0,28,0
frutillar,si,1,1,0,0,0,11,0
futaleufu,si,0,0,0,0,0,0,0
futrono,si,2,1,1,0,0,19,2
galvarino,si,0,0,0,0,0,0,0
general_lagos,si,0,0,0,0,0,0,0
gorbea,si,4,1,0,3,0,11,9
graneros,si,11,4,1,6,0,86,16
guaitecas,si,0,0,0,0,0,0,0
hijuelas,si,0,0,0,0,0,0,0
hualaihue,si,0,0,0,0,0,0,0
hualane,si,0,0,0,0,0,0,0
hualqui,si,1,1,0,0,0,2,0
huara,si,0,0,0,0,0,0,0
huasco,si,1,1,0,0,0,42,0
huechuraba,si,5,1,0,2,2,13,8
illapel,si,0,0,0,0,0,0,0
independencia,si,1,0,0,1,0,34,34
iquique,si,9,5,0,4,0,155,17
isla_de_maipo,si,0,0,0,0,0,0,0
isla_de_pascua,si,0,0,0,0,0,0,0
juan_fernandez,si,0,0,0,0,0,0,0
la_cisterna,si,8,2,1,5,0,32,26
la_cruz,si,1,0,0,1,0,1,1
la_estrella,si,1,0,1,0,0,14,3
la_florida,si,22,16,2,4,0,297,39
la_granja,si,6,4,0,2,0,53,4
la_higuera,si,0,0,0,0,0,0,0
la_ligua,si,1,0,0,1,0,18,18
la_pintana,si,2,2,0,0,0,5,0
la_reina,si,4,1,2,1,0,54,18
la_serena,si,96,12,1,83,0,1233,819
la_union,si,5,5,0,0,0,76,4
lago_ranco,si,3,1,0,1,1,6,4
lago_verde,si,0,0,0,0,0,0,0
laguna_blanca,si,0,0,0,0,0,0,0
laja,si,4,0,0,3,1,18,17
lampa,si,0,0,0,0,0,0,0
lanco,si,2,1,0,1,0,38,8
las_cabras,si,0,0,0,0,0,0,0
las_condes,si,154,84,10,60,0,2655,627
lautaro,si,3,0,0,3,0,7,7
lebu,si,5,4,0,0,1,12,0
licanten,si,0,0,0,0,0,0,0
limache,si,3,3,0,0,0,132,0
linares,si,10,3,2,5,0,170,59
litueche,si,0,0,0,0,0,0,0
llaillay,si,0,0,0,0,0,0,0
llanquihue,si,4,0,0,4,0,28,28
lo_barnechea,si,32,19,9,4,0,302,123
lo_espejo,si,4,0,0,4,0,8,8
lo_prado,si,3,0,2,1,0,94,66
lolol,si,0,0,0,0,0,0,0
loncoche,si,0,0,0,0,0,0,0
longavi,si,0,0,0,0,0,0,0
lonquimay,si,1,1,0,0,0,1,0
los_alamos,si,0,0,0,0,0,0,0
los_andes,si,4,2,0,2,0,8,6
los_angeles,si,4,2,2,0,0,227,47
los_lagos,si,2,1,1,0,0,20,2
los_muermos,si,0,0,0,0,0,0,0
los_sauces,si,1,0,0,1,0,1,1
los_vilos,si,0,0,0,0,0,0,0
lota,si,0,0,0,0,0,0,0
lumaco,si,0,0,0,0,0,0,0
machali,si,16,12,1,3,0,234,111
macul,si,0,0,0,0,0,0,0
mafil,si,0,0,0,0,0,0,0
maipu,si,6,1,1,4,0,30,19
malloa,si,0,0,0,0,0,0,0
marchihue,si,0,0,0,0,0,0,0
maria_elena,si,0,0,0,0,0,0,0
maria_pinto,si,4,0,0,4,0,55,55
mariquina,si,0,0,0,0,0,0,0
maule,si,0,0,0,0,0,0,0
maullin,si,1,1,0,0,0,28,0
mejillones,si,3,1,1,1,0,114,37
melipeuco,si,0,0,0,0,0,0,0
melipilla,si,1,0,0,1,0,2,2
molina,si,4,2,0,2,0,77,42
monte_patria,si,4,3,0,1,0,116,12
mostazal,si,1,1,0,0,0,13,0
mulchen,si,2,0,0,2,0,50,50
nacimiento,si,4,2,1,1,0,37,20
nancagua,si,12,0,0,12,0,27,27
natales,si,0,0,0,0,0,0,0
navidad,si,12,9,0,3,0,96,3
negrete,si,0,0,0,0,0,0,0
ninhue,si,0,0,0,0,0,0,0
niquen,si,1,0,0,1,0,60,60
nogales,si,1,0,0,1,0,2,2
nueva_imperial,si,0,0,0,0,0,0,0
nunoa,si,6,6,0,0,0,81,0
o_higgins,si,0,0,0,0,0,0,0
olivar,si,0,0,0,0,0,0,0
ollague,si,0,0,0,0,0,0,0
olmue,si,0,0,0,0,0,0,0
osorno,si,3,2,1,0,0,9,2
ovalle,si,5,1,2,2,0,248,86
padre_hurtado,si,9,3,0,6,0,238,45
padre_las_casas,si,3,1,0,2,0,8,6
paihuano,si,2,1,0,1,0,26,1
paillaco,si,1,1,0,0,0,48,0
paine,si,3,2,1,0,0,24,8
palena,si,0,0,0,0,0,0,0
palmilla,si,5,1,0,4,0,7,5
panguipulli,si,1,1,0,0,0,5,0
panquehue,si,0,0,0,0,0,0,0
papudo,si,2,2,0,0,0,57,0
paredones,si,1,1,0,0,0,24,1
parral,si,2,2,0,0,0,10,0
pedro_aguirre_cerda,si,18,17,0,1,0,535,43
pelarco,si,0,0,0,0,0,0,0
pelluhue,si,2,0,1,1,0,44,31
pemuco,si,0,0,0,0,0,0,0
penaflor,si,0,0,0,0,0,0,0
penalolen,si,60,21,4,33,2,260,131
pencahue,si,0,0,0,0,0,0,0
penco,si,0,0,0,0,0,0,0
peralillo,si,1,1,0,0,0,5,0
perquenco,si,0,0,0,0,0,0,0
petorca,si,0,0,0,0,0,0,0
peumo,si,0,0,0,0,0,0,0
pica,si,0,0,0,0,0,0,0
pichidegua,si,1,1,0,0,0,48,0
pichilemu,si,22,1,3,18,0,288,235
pinto,si,0,0,0,0,0,0,0
pirque,si,2,0,1,1,0,41,34
pitrufquen,si,5,4,0,1,0,122,6
placilla,si,0,0,0,0,0,0,0
portezuelo,si,3,2,1,0,0,82,11
porvenir,si,2,0,0,2,0,2,2
pozo_almonte,si,1,1,0,0,0,1,0
primavera,si,1,0,0,1,0,1,1
providencia,si,0,0,0,0,0,0,0
puchuncavi,si,3,2,0,1,0,9,7
pucon,si,1,1,0,0,0,6,0
pudahuel,si,0,0,0,0,0,0,0
puente_alto,si,8,0,0,0,8,10,0
puerto_montt,si,13,9,2,2,0,358,40
puerto_octay,si,0,0,0,0,0,0,0
puerto_varas,si,4,3,1,0,0,173,10
pumanque,si,0,0,0,0,0,0,0
punitaqui,si,0,0,0,0,0,0,0
punta_arenas,si,1,1,0,0,0,2,0
puqueldon,si,0,0,0,0,0,0,0
puren,si,0,0,0,0,0,0,0
purranque,si,2,1,0,1,0,34,29
putaendo,si,0,0,0,0,0,0,0
putre,si,0,0,0,0,0,0,0
puyehue,si,1,1,0,0,0,4,0
queilen,si,1,1,0,0,0,2,0
quellon,si,2,1,0,0,1,2,0
quemchi,si,0,0,0,0,0,0,0
quilaco,si,0,0,0,0,0,0,0
quilicura,si,3,1,0,2,0,46,36
quilleco,si,2,0,1,1,0,112,111
quillon,si,2,2,0,0,0,4,0
quillota,si,7,6,0,1,0,112,7
quilpue,si,4,4,0,0,0,88,0
quinta_de_tilcoco,si,2,2,0,0,0,11,0
quinta_normal,si,8,7,0,1,0,96,43
quintero,si,2,1,0,1,0,9,7
quirihue,si,0,0,0,0,0,0,0
rancagua,si,25,11,1,13,0,189,72
ranquil,si,3,2,1,0,0,8,2
rauco,si,0,0,0,0,0,0,0
recoleta,si,0,0,0,0,0,0,0
renaico,si,4,2,1,1,0,56,6
renca,si,0,0,0,0,0,0,0
rengo,si,28,14,2,11,1,714,500
requinoa,si,9,6,0,3,0,31,4
retiro,si,4,0,0,4,0,20,20
rinconada,si,0,0,0,0,0,0,0
rio_bueno,si,0,0,0,0,0,0,0
rio_claro,si,0,0,0,0,0,0,0
rio_hurtado,si,0,0,0,0,0,0,0
rio_ibanez,si,0,0,0,0,0,0,0
rio_negro,si,1,1,0,0,0,1,0
rio_verde,si,0,0,0,0,0,0,0
romeral,si,3,3,0,0,0,30,0
saavedra,si,1,1,0,0,0,2,0
sagrada_familia,si,0,0,0,0,0,0,0
salamanca,si,1,0,0,1,0,23,23
san_antonio,si,9,7,1,1,0,152,41
san_bernardo,si,9,6,0,3,0,52,30
san_carlos,si,3,0,0,3,0,14,14
san_clemente,si,8,0,1,7,0,72,56
san_esteban,si,3,3,0,0,0,94,2
san_fabian,si,3,2,0,1,0,5,1
san_felipe,si,6,4,0,2,0,57,50
san_fernando,si,1,1,0,0,0,23,0
san_gregorio,si,0,0,0,0,0,0,0
san_ignacio,si,0,0,0,0,0,0,0
san_javier,si,1,1,0,0,0,2,0
san_joaquin,si,22,4,0,18,0,87,44
san_jose_de_maipo,si,0,0,0,0,0,0,0
san_juan_de_la_costa,si,0,0,0,0,0,0,0
san_miguel,si,10,9,0,1,0,237,4
san_nicolas,si,0,0,0,0,0,0,0
san_pablo,si,0,0,0,0,0,0,0
san_pedro,si,1,1,0,0,0,98,0
san_pedro_de_atacama,si,0,0,0,0,0,0,0
san_pedro_de_la_paz,si,0,0,0,0,0,0,0
san_rafael,si,0,0,0,0,0,0,0
san_ramon,si,0,0,0,0,0,0,0
san_rosendo,si,0,0,0,0,0,0,0
san_vicente,si,0,0,0,0,0,0,0
santa_barbara,si,0,0,0,0,0,0,0
santa_cruz,si,0,0,0,0,0,0,0
santa_juana,si,0,0,0,0,0,0,0
santa_maria,si,2,0,0,1,1,17,1
santiago,si,41,11,1,29,0,356,262
santo_domingo,si,1,1,0,0,0,54,0
sierra_gorda,si,3,1,1,1,0,102,21
talagante,si,4,2,1,1,0,93,44
talca,si,16,5,0,11,0,162,58
talcahuano,si,5,1,1,3,0,217,152
taltal,si,1,1,0,0,0,4,0
temuco,si,0,0,0,0,0,0,0
teno,si,1,0,1,0,0,34,13
teodoro_schmidt,si,0,0,0,0,0,0,0
tierra_amarilla,si,0,0,0,0,0,0,0
til_til,si,0,0,0,0,0,0,0
timaukel,si,0,0,0,0,0,0,0
tirua,si,1,1,0,0,0,3,0
tocopilla,si,4,2,0,2,0,6,3
tolten,si,3,3,0,0,0,38,0
tome,si,0,0,0,0,0,0,0
torres_del_paine,si,0,0,0,0,0,0,0
tortel,si,0,0,0,0,0,0,0
traiguen,si,0,0,0,0,0,0,0
treguaco,si,0,0,0,0,0,0,0
tucapel,si,6,0,0,6,0,6,6
valdivia,si,5,4,1,0,0,23,1
vallenar,si,2,2,0,0,0,3,0
valparaiso,si,4,3,0,1,0,188,65
vichuquen,si,0,0,0,0,0,0,0
victoria,si,0,0,0,0,0,0,0
vicuna,si,0,0,0,0,0,0,0
vilcun,si,1,0,0,1,0,1,1
villa_alegre,si,0,0,0,0,0,0,0
villa_alemana,si,4,1,0,3,0,22,19
villarrica,si,15,10,3,2,0,159,15
vina_del_mar,si,8,5,1,2,0,265,127
vitacura,si,13,13,0,0,0,142,0
yerbas_buenas,si,0,0,0,0,0,0,0
yumbel,si,1,1,0,0,0,15,0
yungay,si,1,1,0,0,0,2,0
zapallar,si,23,5,1,17,0,78,25
