comuna,documentos,utiles,escalados,recuperables,estado
algarrobo,1,1,0,0,CON_NORMA
alhue,0,0,0,0,SIN_NADA
alto_biobio,0,0,0,0,SIN_NADA
alto_del_carmen,0,0,0,0,SIN_NADA
alto_hospicio,0,0,0,0,SIN_NADA
ancud,0,0,0,0,SIN_NADA
andacollo,1,1,0,0,CON_NORMA
angol,1,1,0,0,CON_NORMA
antartica,0,0,0,0,SIN_NADA
antofagasta,12,7,0,0,CON_NORMA
antuco,15,0,1,0,SOLO_ESCALADOS
arauco,6,4,1,0,CON_NORMA
arica,2,2,0,0,CON_NORMA
aysen,0,0,0,0,SIN_NADA
buin,15,0,0,0,SIN_NADA
bulnes,1,1,0,0,CON_NORMA
cabildo,1,1,0,0,CON_NORMA
cabo_de_hornos,0,0,0,0,SIN_NADA
cabrero,0,0,0,0,SIN_NADA
calama,0,0,0,0,SIN_NADA
calbuco,1,1,0,0,CON_NORMA
caldera,12,11,0,0,CON_NORMA
calera,0,0,0,0,SIN_NADA
calera_de_tango,0,0,0,0,SIN_NADA
calle_larga,4,2,0,0,CON_NORMA
camarones,0,0,0,0,SIN_NADA
camina,0,0,0,0,SIN_NADA
canela,1,0,0,0,SIN_NADA
canete,1,1,0,0,CON_NORMA
carahue,1,1,0,0,CON_NORMA
cartagena,0,0,0,0,SIN_NADA
casablanca,3,3,0,0,CON_NORMA
castro,0,0,0,0,SIN_NADA
catemu,0,0,0,1,SOLO_RECUPERABLES
cauquenes,4,4,0,0,CON_NORMA
cerrillos,21,2,2,0,CON_NORMA
cerro_navia,0,0,0,0,SIN_NADA
chaiten,0,0,0,0,SIN_NADA
chanaral,4,4,0,0,CON_NORMA
chanco,0,0,0,0,SIN_NADA
chepica,2,1,0,2,CON_NORMA
chiguayante,12,11,0,0,CON_NORMA
chile_chico,0,0,0,0,SIN_NADA
chillan,11,9,1,0,CON_NORMA
chillan_viejo,11,4,0,0,CON_NORMA
chimbarongo,0,0,0,0,SIN_NADA
chonchi,0,0,0,0,SIN_NADA
cisnes,0,0,0,0,SIN_NADA
cobquecura,1,0,0,0,SIN_NADA
cochamo,0,0,0,0,SIN_NADA
cochrane,0,0,0,0,SIN_NADA
codegua,3,2,1,0,CON_NORMA
coelemu,3,1,0,0,CON_NORMA
coihueco,0,0,0,0,SIN_NADA
coinco,3,1,0,1,CON_NORMA
colbun,2,0,0,0,SIN_NADA
colchane,0,0,0,0,SIN_NADA
colina,8,5,0,0,CON_NORMA
collipulli,1,1,0,0,CON_NORMA
coltauco,1,1,0,1,CON_NORMA
combarbala,1,1,0,0,CON_NORMA
concepcion,10,6,1,0,CON_NORMA
conchali,2,2,0,0,CON_NORMA
concon,0,0,0,0,SIN_NADA
constitucion,0,0,0,0,SIN_NADA
contulmo,0,0,0,0,SIN_NADA
copiapo,2,2,0,0,CON_NORMA
coquimbo,1,0,0,0,SIN_NADA
coronel,0,0,0,0,SIN_NADA
corral,6,2,0,0,CON_NORMA
coyhaique,1,1,0,0,CON_NORMA
cunco,0,0,0,0,SIN_NADA
curacautin,15,0,2,0,SOLO_ESCALADOS
curacavi,0,0,0,0,SIN_NADA
curaco_de_velez,0,0,0,0,SIN_NADA
curanilahue,3,0,0,0,SIN_NADA
curarrehue,0,0,0,0,SIN_NADA
curepto,0,0,0,0,SIN_NADA
curico,11,7,0,0,CON_NORMA
dalcahue,1,0,0,0,SIN_NADA
diego_de_almagro,1,0,0,0,SIN_NADA
donihue,6,1,0,1,CON_NORMA
el_bosque,2,2,0,0,CON_NORMA
el_carmen,1,1,0,0,CON_NORMA
el_monte,1,0,0,0,SIN_NADA
el_quisco,8,1,0,0,CON_NORMA
el_tabo,6,5,0,0,CON_NORMA
empedrado,0,0,0,0,SIN_NADA
ercilla,0,0,0,0,SIN_NADA
estacion_central,14,4,0,0,CON_NORMA
florida,3,1,1,0,CON_NORMA
freire,0,0,0,0,SIN_NADA
freirina,2,2,0,0,CON_NORMA
fresia,1,1,0,1,CON_NORMA
frutillar,1,1,0,0,CON_NORMA
futaleufu,0,0,0,0,SIN_NADA
futrono,2,1,0,0,CON_NORMA
galvarino,0,0,0,0,SIN_NADA
general_lagos,0,0,0,0,SIN_NADA
gorbea,4,3,1,0,CON_NORMA
graneros,11,6,0,0,CON_NORMA
guaitecas,0,0,0,0,SIN_NADA
hijuelas,0,0,0,0,SIN_NADA
hualaihue,0,0,0,0,SIN_NADA
hualane,0,0,0,0,SIN_NADA
hualqui,1,1,0,0,CON_NORMA
huara,0,0,0,0,SIN_NADA
huasco,1,1,0,0,CON_NORMA
huechuraba,5,3,1,0,CON_NORMA
illapel,0,0,0,0,SIN_NADA
independencia,1,1,0,0,CON_NORMA
iquique,9,8,0,0,CON_NORMA
isla_de_maipo,0,0,0,0,SIN_NADA
isla_de_pascua,0,0,0,0,SIN_NADA
juan_fernandez,0,0,0,0,SIN_NADA
la_cisterna,8,5,1,0,CON_NORMA
la_cruz,1,0,0,0,SIN_NADA
la_estrella,1,1,0,0,CON_NORMA
la_florida,22,19,1,0,CON_NORMA
la_granja,6,4,1,0,CON_NORMA
la_higuera,0,0,0,0,SIN_NADA
la_ligua,1,0,0,0,SIN_NADA
la_pintana,2,0,0,0,SIN_NADA
la_reina,4,4,0,0,CON_NORMA
la_serena,96,14,5,0,CON_NORMA
la_union,5,5,0,0,CON_NORMA
lago_ranco,3,0,1,1,SOLO_ESCALADOS
lago_verde,0,0,0,0,SIN_NADA
laguna_blanca,0,0,0,0,SIN_NADA
laja,4,3,0,0,CON_NORMA
lampa,0,0,0,0,SIN_NADA
lanco,2,2,0,0,CON_NORMA
las_cabras,0,0,0,0,SIN_NADA
las_condes,154,73,15,0,CON_NORMA
lautaro,3,1,0,0,CON_NORMA
lebu,5,4,0,0,CON_NORMA
licanten,0,0,0,0,SIN_NADA
limache,3,1,0,0,CON_NORMA
linares,10,7,0,0,CON_NORMA
litueche,0,0,0,0,SIN_NADA
llaillay,0,0,0,0,SIN_NADA
llanquihue,4,0,0,0,SIN_NADA
lo_barnechea,32,30,0,0,CON_NORMA
lo_espejo,4,0,0,0,SIN_NADA
lo_prado,3,1,1,0,CON_NORMA
lolol,0,0,0,0,SIN_NADA
loncoche,0,0,0,0,SIN_NADA
longavi,0,0,0,0,SIN_NADA
lonquimay,1,0,0,1,SOLO_RECUPERABLES
los_alamos,0,0,0,0,SIN_NADA
los_andes,4,0,0,1,SOLO_RECUPERABLES
los_angeles,4,1,0,0,CON_NORMA
los_lagos,2,2,0,0,CON_NORMA
los_muermos,0,0,0,0,SIN_NADA
los_sauces,1,0,0,0,SIN_NADA
los_vilos,0,0,0,0,SIN_NADA
lota,0,0,0,0,SIN_NADA
lumaco,0,0,0,0,SIN_NADA
machali,16,12,1,0,CON_NORMA
macul,0,0,0,0,SIN_NADA
mafil,0,0,0,0,SIN_NADA
maipu,6,4,0,0,CON_NORMA
malloa,0,0,0,0,SIN_NADA
marchihue,0,0,0,0,SIN_NADA
maria_elena,0,0,0,0,SIN_NADA
maria_pinto,4,0,1,0,SOLO_ESCALADOS
mariquina,0,0,0,0,SIN_NADA
maule,0,0,0,0,SIN_NADA
maullin,1,1,0,0,CON_NORMA
mejillones,3,3,0,0,CON_NORMA
melipeuco,0,0,0,0,SIN_NADA
melipilla,1,1,0,0,CON_NORMA
molina,4,3,0,0,CON_NORMA
monte_patria,4,3,0,0,CON_NORMA
mostazal,1,0,0,0,SIN_NADA
mulchen,2,2,0,0,CON_NORMA
nacimiento,4,4,0,0,CON_NORMA
nancagua,12,0,0,0,SIN_NADA
natales,0,0,0,0,SIN_NADA
navidad,12,1,0,0,CON_NORMA
negrete,0,0,0,0,SIN_NADA
ninhue,0,0,0,0,SIN_NADA
niquen,1,1,0,0,CON_NORMA
nogales,1,0,0,0,SIN_NADA
nueva_imperial,0,0,0,0,SIN_NADA
nunoa,6,6,0,0,CON_NORMA
o_higgins,0,0,0,0,SIN_NADA
olivar,0,0,0,0,SIN_NADA
ollague,0,0,0,0,SIN_NADA
olmue,0,0,0,0,SIN_NADA
osorno,3,1,0,0,CON_NORMA
ovalle,5,3,0,0,CON_NORMA
padre_hurtado,9,7,0,1,CON_NORMA
padre_las_casas,3,0,1,0,SOLO_ESCALADOS
paihuano,2,1,0,0,CON_NORMA
paillaco,1,1,0,0,CON_NORMA
paine,3,2,0,0,CON_NORMA
palena,0,0,0,0,SIN_NADA
palmilla,5,1,0,0,CON_NORMA
panguipulli,1,1,0,0,CON_NORMA
panquehue,0,0,0,0,SIN_NADA
papudo,2,2,0,1,CON_NORMA
paredones,1,1,0,0,CON_NORMA
parral,2,1,0,0,CON_NORMA
pedro_aguirre_cerda,18,5,0,1,CON_NORMA
pelarco,0,0,0,0,SIN_NADA
pelluhue,2,2,0,0,CON_NORMA
pemuco,0,0,0,0,SIN_NADA
penaflor,0,0,0,0,SIN_NADA
penalolen,60,57,0,0,CON_NORMA
pencahue,0,0,0,0,SIN_NADA
penco,0,0,0,0,SIN_NADA
peralillo,1,1,0,0,CON_NORMA
perquenco,0,0,0,0,SIN_NADA
petorca,0,0,0,0,SIN_NADA
peumo,0,0,0,0,SIN_NADA
pica,0,0,0,0,SIN_NADA
pichidegua,1,1,0,0,CON_NORMA
pichilemu,22,13,0,0,CON_NORMA
pinto,0,0,0,0,SIN_NADA
pirque,2,2,0,0,CON_NORMA
pitrufquen,5,4,0,0,CON_NORMA
placilla,0,0,0,0,SIN_NADA
portezuelo,3,3,0,0,CON_NORMA
porvenir,2,0,0,0,SIN_NADA
pozo_almonte,1,0,0,0,SIN_NADA
primavera,1,0,0,0,SIN_NADA
providencia,0,0,0,0,SIN_NADA
puchuncavi,3,3,0,0,CON_NORMA
pucon,1,1,0,0,CON_NORMA
pudahuel,0,0,0,0,SIN_NADA
puente_alto,8,0,3,0,SOLO_ESCALADOS
puerto_montt,13,10,1,0,CON_NORMA
puerto_octay,0,0,0,0,SIN_NADA
puerto_varas,4,4,0,0,CON_NORMA
pumanque,0,0,0,0,SIN_NADA
punitaqui,0,0,0,0,SIN_NADA
punta_arenas,1,0,0,0,SIN_NADA
puqueldon,0,0,0,0,SIN_NADA
puren,0,0,0,0,SIN_NADA
purranque,2,2,0,0,CON_NORMA
putaendo,0,0,0,0,SIN_NADA
putre,0,0,0,0,SIN_NADA
puyehue,1,1,0,0,CON_NORMA
queilen,1,1,0,0,CON_NORMA
quellon,2,1,0,0,CON_NORMA
quemchi,0,0,0,0,SIN_NADA
quilaco,0,0,0,0,SIN_NADA
quilicura,3,0,3,0,SOLO_ESCALADOS
quilleco,2,0,1,0,SOLO_ESCALADOS
quillon,2,1,0,0,CON_NORMA
quillota,7,0,1,0,SOLO_ESCALADOS
quilpue,4,2,0,0,CON_NORMA
quinta_de_tilcoco,2,2,0,0,CON_NORMA
quinta_normal,8,8,0,0,CON_NORMA
quintero,2,0,1,0,SOLO_ESCALADOS
quirihue,0,0,0,0,SIN_NADA
rancagua,25,9,3,0,CON_NORMA
ranquil,3,3,0,0,CON_NORMA
rauco,0,0,0,0,SIN_NADA
recoleta,0,0,0,0,SIN_NADA
renaico,4,4,0,0,CON_NORMA
renca,0,0,0,0,SIN_NADA
rengo,28,21,0,0,CON_NORMA
requinoa,9,1,0,0,CON_NORMA
retiro,4,0,0,0,SIN_NADA
rinconada,0,0,0,0,SIN_NADA
rio_bueno,0,0,0,0,SIN_NADA
rio_claro,0,0,0,0,SIN_NADA
rio_hurtado,0,0,0,0,SIN_NADA
rio_ibanez,0,0,0,0,SIN_NADA
rio_negro,1,0,0,0,SIN_NADA
rio_verde,0,0,0,0,SIN_NADA
romeral,3,3,0,0,CON_NORMA
saavedra,1,1,0,0,CON_NORMA
sagrada_familia,0,0,0,0,SIN_NADA
salamanca,1,1,0,0,CON_NORMA
san_antonio,9,4,0,0,CON_NORMA
san_bernardo,9,7,0,0,CON_NORMA
san_carlos,3,1,0,0,CON_NORMA
san_clemente,8,4,0,0,CON_NORMA
san_esteban,3,3,0,0,CON_NORMA
san_fabian,3,2,0,0,CON_NORMA
san_felipe,6,3,0,0,CON_NORMA
san_fernando,1,1,0,0,CON_NORMA
san_gregorio,0,0,0,0,SIN_NADA
san_ignacio,0,0,0,0,SIN_NADA
san_javier,1,0,0,0,SIN_NADA
san_joaquin,22,20,1,0,CON_NORMA
san_jose_de_maipo,0,0,0,0,SIN_NADA
san_juan_de_la_costa,0,0,0,0,SIN_NADA
san_miguel,10,8,2,0,CON_NORMA
san_nicolas,0,0,0,0,SIN_NADA
san_pablo,0,0,0,0,SIN_NADA
san_pedro,1,0,0,0,SIN_NADA
san_pedro_de_atacama,0,0,0,0,SIN_NADA
san_pedro_de_la_paz,0,0,0,0,SIN_NADA
san_rafael,0,0,0,0,SIN_NADA
san_ramon,0,0,0,0,SIN_NADA
san_rosendo,0,0,0,0,SIN_NADA
san_vicente,0,0,0,0,SIN_NADA
santa_barbara,0,0,0,0,SIN_NADA
santa_cruz,0,0,0,0,SIN_NADA
santa_juana,0,0,0,0,SIN_NADA
santa_maria,2,1,0,0,CON_NORMA
santiago,41,19,5,1,CON_NORMA
santo_domingo,1,1,0,0,CON_NORMA
sierra_gorda,3,3,0,0,CON_NORMA
talagante,4,4,0,0,CON_NORMA
talca,16,8,0,0,CON_NORMA
talcahuano,5,4,1,0,CON_NORMA
taltal,1,0,0,0,SIN_NADA
temuco,0,0,0,0,SIN_NADA
teno,1,1,0,0,CON_NORMA
teodoro_schmidt,0,0,0,0,SIN_NADA
tierra_amarilla,0,0,0,0,SIN_NADA
til_til,0,0,0,0,SIN_NADA
timaukel,0,0,0,0,SIN_NADA
tirua,1,1,0,0,CON_NORMA
tocopilla,4,1,0,0,CON_NORMA
tolten,3,3,0,0,CON_NORMA
tome,0,0,0,0,SIN_NADA
torres_del_paine,0,0,0,0,SIN_NADA
tortel,0,0,0,0,SIN_NADA
traiguen,0,0,0,0,SIN_NADA
treguaco,0,0,0,0,SIN_NADA
tucapel,6,0,0,0,SIN_NADA
valdivia,5,3,0,0,CON_NORMA
vallenar,2,1,0,0,CON_NORMA
valparaiso,4,4,0,0,CON_NORMA
vichuquen,0,0,0,0,SIN_NADA
victoria,0,0,0,0,SIN_NADA
vicuna,0,0,0,0,SIN_NADA
vilcun,1,0,0,0,SIN_NADA
villa_alegre,0,0,0,0,SIN_NADA
villa_alemana,4,2,0,0,CON_NORMA
villarrica,15,7,3,1,CON_NORMA
vina_del_mar,8,8,0,0,CON_NORMA
vitacura,13,13,0,0,CON_NORMA
yerbas_buenas,0,0,0,0,SIN_NADA
yumbel,1,1,0,0,CON_NORMA
yungay,1,1,0,0,CON_NORMA
zapallar,23,3,2,0,CON_NORMA
